run_id,trial,is_baseline,sklearn_version,xgboost_version,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,train_pr_auc_mean,fit_time_sec,wall_time_sec,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight
20260622_101438,20,False,1.7.2,3.3.0,0.9372162370755036,0.0021354113067669,0.8018937071125645,0.0061604706628943,0.9397939578211963,9.316547393798828,4.57931120000012,500,4,0.02,1.0,0.65,80,0.0,0.0,5.0,1.0
20260622_101438,21,False,1.7.2,3.3.0,0.9371083136943672,0.002133160526927,0.8018782299783871,0.0060951281707245,0.9403938149994991,11.359086513519289,5.108760299999631,320,4,0.03,0.65,0.65,10,0.1,1.0,3.0,0.75
20260622_101438,22,False,1.7.2,3.3.0,0.9360032497566572,0.0018840105287955,0.7990183294623483,0.0053497164925381,0.946171637657692,20.05242824554444,9.02226729999984,500,6,0.06,0.75,1.0,80,0.3,0.5,20.0,0.5
20260622_101438,23,False,1.7.2,3.3.0,0.9366232749412642,0.0019782934304536,0.8008263485042593,0.0056727016880938,0.9429993398306202,11.267217636108398,5.020090700000765,320,4,0.08,0.75,0.9,1,0.0,0.5,10.0,1.0
20260622_101438,24,False,1.7.2,3.3.0,0.9361428261891754,0.0017241129515431,0.8000863943859601,0.0056732536195671,0.945807637860419,18.14944267272949,10.103076800000052,500,5,0.045,1.0,1.0,1,0.3,0.1,5.0,0.5
20260622_101438,25,False,1.7.2,3.3.0,0.936358647628953,0.0019995202054575,0.8004475614804228,0.0059995621195937,0.9451904569334422,13.29396104812622,6.77047070000026,180,5,0.08,0.65,1.0,1,0.1,0.0,1.0,1.0
20260622_101438,26,False,1.7.2,3.3.0,0.9369798741451074,0.0021901416822343,0.8018511913137607,0.006283333213494,0.9408597780489468,16.11897563934326,7.250362499999937,400,5,0.015,0.85,0.9,1,0.05,2.0,20.0,1.0
20260622_101438,27,False,1.7.2,3.3.0,0.9372205415589484,0.0020637022629043,0.8018750985036567,0.006142310342002,0.939297845990694,7.890398263931274,3.6272823999997854,250,3,0.06,0.85,0.9,40,0.05,1.0,20.0,0.75
20260622_101438,28,False,1.7.2,3.3.0,0.9370095460124526,0.0019649264560361,0.8015533597452892,0.0060170011933894,0.9437084630759356,13.018779754638672,6.08319819999997,400,6,0.015,1.0,0.8,5,0.5,2.0,1.0,1.0
20260622_101438,29,False,1.7.2,3.3.0,0.9370576170946204,0.0020958942806505,0.8014707805054746,0.0061773859914509,0.939783458569661,10.969110250473022,4.932503099999849,250,5,0.015,0.85,1.0,1,0.5,2.0,40.0,0.5
20260622_101438,30,False,1.7.2,3.3.0,0.9370536483267812,0.0020960525153365,0.8019358599869829,0.0061823745462273,0.9394496549794904,11.126898050308228,4.982620400000087,320,4,0.025,0.75,0.8,40,0.05,0.0,40.0,1.0
20260622_101438,31,False,1.7.2,3.3.0,0.9367735837925386,0.0021127342523271,0.800145551470054,0.0062046360661399,0.9375696370896984,8.986594676971436,5.183208100000229,180,3,0.02,0.85,0.65,20,0.0,0.0,20.0,0.75
20260622_101438,32,False,1.7.2,3.3.0,0.9369617172889562,0.0020740441383445,0.8016355227876056,0.0061910741791486,0.9404097676910084,7.859166383743286,4.323744699999224,120,4,0.08,0.75,0.8,5,0.5,2.0,3.0,0.5
20260622_101438,33,False,1.7.2,3.3.0,0.9369569671870204,0.0020630603188035,0.8015334065238854,0.0061123243136389,0.9384966230452224,17.88089346885681,8.761670500000037,400,2,0.06,0.85,0.65,40,0.3,1.0,20.0,1.0
20260622_101438,34,False,1.7.2,3.3.0,0.937120256850926,0.0018960813311514,0.801744015444811,0.0060428449372478,0.9390536312112306,7.286891222000122,3.9132626000000528,120,3,0.08,0.65,1.0,1,0.0,0.1,20.0,0.5
20260622_101438,35,False,1.7.2,3.3.0,0.9371215989058426,0.0020461680887008,0.8018724719499983,0.0060951477922105,0.939805471371294,11.08811092376709,5.670784599999934,180,4,0.045,0.65,0.65,10,0.5,0.5,10.0,1.0
20260622_101438,36,False,1.7.2,3.3.0,0.9368122756375272,0.0022592074772648,0.8012349460295927,0.0062405010082912,0.9393683537464051,9.314001321792604,4.812408999999207,120,5,0.02,0.85,1.0,1,0.1,2.0,3.0,0.75
20260622_101438,37,False,1.7.2,3.3.0,0.9369630818667593,0.002144391638949,0.801071390995595,0.0059931053177007,0.9378753886000504,21.27078652381897,10.305355499999678,500,2,0.02,0.85,0.8,10,0.0,0.1,20.0,0.75
20260622_101438,38,False,1.7.2,3.3.0,0.936948157156426,0.0017407723422132,0.8017370554907162,0.0057697652330156,0.9441533523264948,13.430256843566896,6.793162900000425,180,6,0.0359,0.65,0.9,10,0.0,0.0,1.0,0.5
20260622_101438,39,False,1.7.2,3.3.0,0.9368675579906862,0.0020410294002137,0.8016473844010937,0.006140399517946,0.9407167501153072,14.041442394256592,7.194381200000862,250,4,0.06,0.75,0.9,10,0.1,2.0,40.0,0.75
20260622_101438,40,False,1.7.2,3.3.0,0.9369095255972296,0.0018630591076287,0.8014108053264615,0.0058602762249031,0.942988742189287,24.573071479797363,12.163572399999794,400,5,0.0359,0.65,0.8,20,0.05,1.0,20.0,0.5
20260622_101438,41,False,1.7.2,3.3.0,0.9370369967366244,0.0020301619102006,0.8015562352364902,0.0060586385024321,0.938713123919756,8.150161027908325,4.195326199999727,250,3,0.0359,1.0,0.8,5,0.05,1.0,1.0,0.5
20260622_101438,42,False,1.7.2,3.3.0,0.9368370653735124,0.0021033172256589,0.8013000158993375,0.0060841431526841,0.9381997333038464,10.07258129119873,5.322895699999208,180,3,0.0359,0.75,0.8,5,0.05,1.0,40.0,0.5
20260622_101438,43,False,1.7.2,3.3.0,0.9366629450173078,0.0019127098311018,0.8009740063563425,0.0058567462423132,0.9440662965361772,19.629759550094604,10.11135700000068,320,5,0.06,0.75,0.65,1,0.1,0.1,20.0,1.0
20260622_101438,44,False,1.7.2,3.3.0,0.9366399150700152,0.0021030074944874,0.8001169927976057,0.0059844875804064,0.93736733093904,15.358926057815552,7.685160099999848,320,2,0.02,0.65,0.65,5,0.0,0.1,10.0,0.5
