brand,n_products,n_categories,n_events,price_median,source_dataset
levissime,7,1,21552,4.92,REES46 cosmetics 2019-Oct..2020-Feb
refectocil,17,4,21100,7.43,REES46 cosmetics 2019-Oct..2020-Feb
shary,81,13,20044,2.05,REES46 cosmetics 2019-Oct..2020-Feb
entity,300,18,20009,8.7,REES46 cosmetics 2019-Oct..2020-Feb
happyfons,43,1,19981,5.83,REES46 cosmetics 2019-Oct..2020-Feb
skinlite,86,13,19496,1.74,REES46 cosmetics 2019-Oct..2020-Feb
farmavita,226,20,19319,5.74,REES46 cosmetics 2019-Oct..2020-Feb
thuya,19,5,17601,13.44,REES46 cosmetics 2019-Oct..2020-Feb
ecolab,97,22,17563,4.3,REES46 cosmetics 2019-Oct..2020-Feb
trind,24,7,17319,9.34,REES46 cosmetics 2019-Oct..2020-Feb
konad,113,11,17016,3.97,REES46 cosmetics 2019-Oct..2020-Feb
igrobeauty,27,7,16965,2.34,REES46 cosmetics 2019-Oct..2020-Feb
kaypro,314,16,16944,13.34,REES46 cosmetics 2019-Oct..2020-Feb
bodyton,52,14,16427,7.2,REES46 cosmetics 2019-Oct..2020-Feb
dartnails,71,1,15638,1.26,REES46 cosmetics 2019-Oct..2020-Feb
insight,77,16,15341,13.67,REES46 cosmetics 2019-Oct..2020-Feb
limoni,89,21,15131,11.73,REES46 cosmetics 2019-Oct..2020-Feb
opi,391,22,14214,11.6,REES46 cosmetics 2019-Oct..2020-Feb
provoc,81,5,13931,6.53,REES46 cosmetics 2019-Oct..2020-Feb
soleo,12,2,13785,0.94,REES46 cosmetics 2019-Oct..2020-Feb
relouis,94,15,13601,4.51,REES46 cosmetics 2019-Oct..2020-Feb
siberina,233,30,13102,5.1,REES46 cosmetics 2019-Oct..2020-Feb
kiss,129,19,13088,6.69,REES46 cosmetics 2019-Oct..2020-Feb
zeitun,168,25,12890,11.0,REES46 cosmetics 2019-Oct..2020-Feb
orly,159,26,12377,11.75,REES46 cosmetics 2019-Oct..2020-Feb
dermacol,142,14,11770,8.9,REES46 cosmetics 2019-Oct..2020-Feb
estelare,36,6,11195,2.13,REES46 cosmetics 2019-Oct..2020-Feb
dermal,63,4,11019,1.03,REES46 cosmetics 2019-Oct..2020-Feb
i-laq,238,3,10223,3.97,REES46 cosmetics 2019-Oct..2020-Feb
eunyul,37,3,9994,4.13,REES46 cosmetics 2019-Oct..2020-Feb
matreshka,66,8,9237,5.49,REES46 cosmetics 2019-Oct..2020-Feb
jaguar,22,5,9136,43.92,REES46 cosmetics 2019-Oct..2020-Feb
keen,121,13,8121,6.22,REES46 cosmetics 2019-Oct..2020-Feb
mavala,143,25,8012,5.4,REES46 cosmetics 2019-Oct..2020-Feb
farmona,50,11,7987,22.78,REES46 cosmetics 2019-Oct..2020-Feb
kocostar,82,12,7940,3.51,REES46 cosmetics 2019-Oct..2020-Feb
tertio,133,7,7920,5.56,REES46 cosmetics 2019-Oct..2020-Feb
elskin,13,4,7612,1.18,REES46 cosmetics 2019-Oct..2020-Feb
moyou,93,3,7363,5.71,REES46 cosmetics 2019-Oct..2020-Feb
profhenna,56,7,7198,7.74,REES46 cosmetics 2019-Oct..2020-Feb
lamixx,6,2,7079,6.04,REES46 cosmetics 2019-Oct..2020-Feb
bielenda,124,19,7047,5.0,REES46 cosmetics 2019-Oct..2020-Feb
balbcare,2,1,7012,3.15,REES46 cosmetics 2019-Oct..2020-Feb
coifin,7,1,6774,55.56,REES46 cosmetics 2019-Oct..2020-Feb
gehwol,27,10,6697,14.19,REES46 cosmetics 2019-Oct..2020-Feb
lakme,80,14,6602,14.17,REES46 cosmetics 2019-Oct..2020-Feb
parachute,7,2,6517,6.25,REES46 cosmetics 2019-Oct..2020-Feb
lsanic,18,3,6458,2.0,REES46 cosmetics 2019-Oct..2020-Feb
babyliss,44,5,6452,75.91,REES46 cosmetics 2019-Oct..2020-Feb
lowence,8,2,6236,19.68,REES46 cosmetics 2019-Oct..2020-Feb
keune,72,16,6091,25.57,REES46 cosmetics 2019-Oct..2020-Feb
naomi,62,22,5917,9.23,REES46 cosmetics 2019-Oct..2020-Feb
estrade,58,8,5721,5.06,REES46 cosmetics 2019-Oct..2020-Feb
joico,66,12,5671,34.39,REES46 cosmetics 2019-Oct..2020-Feb
enigma,36,4,5584,12.46,REES46 cosmetics 2019-Oct..2020-Feb
cristalinas,26,2,5512,9.28,REES46 cosmetics 2019-Oct..2020-Feb
freshbubble,50,3,5476,3.96,REES46 cosmetics 2019-Oct..2020-Feb
osmo,75,18,5232,22.06,REES46 cosmetics 2019-Oct..2020-Feb
vilenta,20,5,5187,2.13,REES46 cosmetics 2019-Oct..2020-Feb
petitfee,13,4,5171,18.33,REES46 cosmetics 2019-Oct..2020-Feb
likato,58,8,5133,10.02,REES46 cosmetics 2019-Oct..2020-Feb
almea,32,12,5050,15.61,REES46 cosmetics 2019-Oct..2020-Feb
chi,19,6,5014,31.22,REES46 cosmetics 2019-Oct..2020-Feb
coocla,67,16,4954,5.35,REES46 cosmetics 2019-Oct..2020-Feb
kims,33,11,4827,34.8,REES46 cosmetics 2019-Oct..2020-Feb
nitrile,14,1,4823,9.03,REES46 cosmetics 2019-Oct..2020-Feb
godefroy,12,1,4822,6.16,REES46 cosmetics 2019-Oct..2020-Feb
kezy,42,14,4767,10.71,REES46 cosmetics 2019-Oct..2020-Feb
gezatone,56,8,4748,43.18,REES46 cosmetics 2019-Oct..2020-Feb
luxvisage,70,13,4598,3.64,REES46 cosmetics 2019-Oct..2020-Feb
batiste,29,5,4581,9.07,REES46 cosmetics 2019-Oct..2020-Feb
vosev,16,2,4517,61.34,REES46 cosmetics 2019-Oct..2020-Feb
deoproce,48,18,4501,10.64,REES46 cosmetics 2019-Oct..2020-Feb
laboratorium,27,8,4497,5.49,REES46 cosmetics 2019-Oct..2020-Feb
lebelage,45,9,4391,3.63,REES46 cosmetics 2019-Oct..2020-Feb
kerasys,24,5,4303,8.05,REES46 cosmetics 2019-Oct..2020-Feb
yllozure,53,15,4185,7.42,REES46 cosmetics 2019-Oct..2020-Feb
cutrin,43,11,4181,14.34,REES46 cosmetics 2019-Oct..2020-Feb
ellips,19,3,4170,4.55,REES46 cosmetics 2019-Oct..2020-Feb
avene,87,18,3779,19.07,REES46 cosmetics 2019-Oct..2020-Feb
bespecial,20,7,3584,10.03,REES46 cosmetics 2019-Oct..2020-Feb
inm,10,4,3507,5.56,REES46 cosmetics 2019-Oct..2020-Feb
riche,65,20,3487,22.06,REES46 cosmetics 2019-Oct..2020-Feb
treaclemoon,37,5,3460,5.55,REES46 cosmetics 2019-Oct..2020-Feb
glysolid,4,1,3450,2.09,REES46 cosmetics 2019-Oct..2020-Feb
protokeratin,75,14,3445,15.05,REES46 cosmetics 2019-Oct..2020-Feb
candy,23,10,3404,5.44,REES46 cosmetics 2019-Oct..2020-Feb
enas,16,3,3389,3.2,REES46 cosmetics 2019-Oct..2020-Feb
s.care,1,1,3306,101.07,REES46 cosmetics 2019-Oct..2020-Feb
blixz,33,2,3242,1.81,REES46 cosmetics 2019-Oct..2020-Feb
beauugreen,8,1,3235,24.89,REES46 cosmetics 2019-Oct..2020-Feb
elizavecca,39,11,3123,18.34,REES46 cosmetics 2019-Oct..2020-Feb
grace,3,1,3102,3.45,REES46 cosmetics 2019-Oct..2020-Feb
biofollica,8,5,3070,15.1,REES46 cosmetics 2019-Oct..2020-Feb
supertan,4,1,3055,1.01,REES46 cosmetics 2019-Oct..2020-Feb
note,243,15,3022,8.22,REES46 cosmetics 2019-Oct..2020-Feb
nefertiti,7,1,2959,5.42,REES46 cosmetics 2019-Oct..2020-Feb
ecocraft,73,17,2858,6.25,REES46 cosmetics 2019-Oct..2020-Feb
barex,21,9,2830,15.98,REES46 cosmetics 2019-Oct..2020-Feb
beautific,61,20,2822,19.88,REES46 cosmetics 2019-Oct..2020-Feb
meisterwerk,14,7,2785,10.32,REES46 cosmetics 2019-Oct..2020-Feb
consly,4,1,2772,5.64,REES46 cosmetics 2019-Oct..2020-Feb
tannymaxx,13,3,2675,14.38,REES46 cosmetics 2019-Oct..2020-Feb
carmex,11,1,2651,5.52,REES46 cosmetics 2019-Oct..2020-Feb
inoface,5,1,2628,2.45,REES46 cosmetics 2019-Oct..2020-Feb
ypsed,50,5,2519,19.78,REES46 cosmetics 2019-Oct..2020-Feb
bergamo,26,4,2437,19.98,REES46 cosmetics 2019-Oct..2020-Feb
yu-r,8,5,2417,32.22,REES46 cosmetics 2019-Oct..2020-Feb
coxir,24,6,2405,21.25,REES46 cosmetics 2019-Oct..2020-Feb
dr.gloderm,33,11,2176,21.96,REES46 cosmetics 2019-Oct..2020-Feb
koelf,6,2,2154,12.57,REES46 cosmetics 2019-Oct..2020-Feb
ladykin,18,8,2105,8.0,REES46 cosmetics 2019-Oct..2020-Feb
sanoto,2,1,2000,138.5,REES46 cosmetics 2019-Oct..2020-Feb
nirvel,10,5,1930,5.3,REES46 cosmetics 2019-Oct..2020-Feb
latinoil,15,7,1916,35.8,REES46 cosmetics 2019-Oct..2020-Feb
rasyan,1,1,1899,3.74,REES46 cosmetics 2019-Oct..2020-Feb
naturmed,20,9,1839,6.96,REES46 cosmetics 2019-Oct..2020-Feb
kamill,16,5,1646,2.38,REES46 cosmetics 2019-Oct..2020-Feb
miskin,10,3,1640,17.22,REES46 cosmetics 2019-Oct..2020-Feb
litaline,72,18,1616,15.64,REES46 cosmetics 2019-Oct..2020-Feb
plazan,13,6,1600,4.19,REES46 cosmetics 2019-Oct..2020-Feb
fancy,15,5,1579,4.91,REES46 cosmetics 2019-Oct..2020-Feb
vichy,66,13,1472,13.6,REES46 cosmetics 2019-Oct..2020-Feb
ermine,27,1,1469,10.13,REES46 cosmetics 2019-Oct..2020-Feb
biorepair,18,3,1358,13.42,REES46 cosmetics 2019-Oct..2020-Feb
enjoy,16,1,1358,9.73,REES46 cosmetics 2019-Oct..2020-Feb
cruset,28,8,1352,13.97,REES46 cosmetics 2019-Oct..2020-Feb
sawa,4,1,1332,7.69,REES46 cosmetics 2019-Oct..2020-Feb
veraclara,12,5,1319,2.5,REES46 cosmetics 2019-Oct..2020-Feb
aura,10,2,1305,7.44,REES46 cosmetics 2019-Oct..2020-Feb
beautyblender,17,3,1298,24.76,REES46 cosmetics 2019-Oct..2020-Feb
greymy,19,9,1296,26.93,REES46 cosmetics 2019-Oct..2020-Feb
egomania,27,5,1251,13.69,REES46 cosmetics 2019-Oct..2020-Feb
profepil,20,6,1210,13.8,REES46 cosmetics 2019-Oct..2020-Feb
finish,5,4,1139,6.27,REES46 cosmetics 2019-Oct..2020-Feb
mayamy,4,2,1124,5.68,REES46 cosmetics 2019-Oct..2020-Feb
herbolive,42,8,1115,7.49,REES46 cosmetics 2019-Oct..2020-Feb
